ticker,cls,sign,total,mean_pnl,median_pnl,wins,win_rate,win_rate_lb,pnl_lb,gamma,gamma_n,gamma_mean,gamma_rate,alpha,sigma
HPK,EXIT04,pos,5,6.1429534,4.9955707,5,1.0,0.565508505247919,3.0720846832152104,,,,,3.7351160049438477,
HPK,EXIT07,neg,4,3.669556,2.7205029,4,1.0,0.5100999795960008,0.831713446453068,,,,,1.0990861654281616,
HPK,EXIT07,pos,5,5.697772,5.0083823,5,1.0,0.565508505247919,2.614692840106072,,,,,3.7351160049438477,
HPK,EXIT18,neg,4,0.5433369,0.3792,4,1.0,0.5100999795960008,0.13752011094495403,,,,,1.0990861654281616,
HPK,EXIT18,pos,2,-0.70093215,-0.70093215,0,0.0,0.0,-2.0747591495513915,,,,,3.7351160049438477,
HPK,EXIT21,neg,1,0.51698446,0.51698446,1,1.0,0.20654329147389294,,,,,,1.0990861654281616,
HPK,EXIT21,pos,1,-1.7027884,-1.7027884,0,0.0,0.0,,,,,,3.7351160049438477,
HPK,PRINT,neg,21,4.0876617,3.2883506,19,0.9047619047619048,0.7108541613925933,2.546190569027014,0.5,21.0,4.0876617431640625,0.9047619047619048,1.0990861654281616,
HPK,PRINT,pos,26,3.7272685,3.4837646,23,0.8846153846153846,0.7102370691310167,2.5518233433448874,0.5,26.0,3.727268695831299,0.8846153846153846,3.7351160049438477,
HPP,EXIT04,neg,2,4.2335663,4.2335663,2,1.0,0.3423719528896193,2.1552864742279056,,,,,0.14195365458726883,
HPP,EXIT04,pos,2,3.3561244,3.3561244,2,1.0,0.3423719528896193,-1.568407819271088,,,,,0.9014852444330851,
HPP,EXIT07,neg,2,1.2513363,1.2513363,1,0.5,0.09452865480086611,-2.7703328716754907,,,,,0.14195365458726883,
HPP,EXIT07,pos,3,5.268219,4.988475,3,1.0,0.4384939195509822,3.8132907022129765,,,,,0.9014852444330851,
HPP,EXIT18,pos,2,-0.30591482,-0.30591482,0,0.0,0.0,-0.9055078649520873,,,,,0.9014852444330851,
HPP,PRINT,neg,21,3.7550979,3.7323482,18,0.8571428571428571,0.6536350585077049,2.131827456597886,0.5,21.0,3.7550976276397705,0.8571428571428571,0.14195365458726883,
HPP,PRINT,pos,23,2.9058566,2.7376392,18,0.782608695652174,0.5809611981726509,1.5520269710646346,0.5,23.0,2.9058568477630615,0.782608695652174,0.9014852444330851,
HPQ,EXIT04,neg,22,2.2627635,2.0431676,21,0.9545454545454546,0.7820151050048196,1.4811596764352808,0.5,22.0,2.262763738632202,0.9545454545454546,0.9014572203159332,
HPQ,EXIT04,pos,21,3.439453,2.4896526,20,0.9523809523809523,0.7733018341376451,2.1702123032759184,0.5,21.0,3.439453125,0.9523809523809523,0.528149276971817,
HPQ,EXIT07,neg,20,2.3111064,2.103735,19,0.95,0.7638641064874331,1.555980424706073,0.5,20.0,2.3111064434051514,0.95,0.9014572203159332,
HPQ,EXIT07,pos,20,3.5098522,2.8658853,18,0.9,0.6989617935882066,1.985812567832544,0.5,20.0,3.5098519325256348,0.9,0.528149276971817,
HPQ,EXIT18,neg,14,-0.21885625,-0.072465,3,0.21428571428571427,0.07571248336916371,-0.4159789524964081,,,,,0.9014572203159332,
HPQ,EXIT18,pos,18,0.56327504,0.050691247,10,0.5555555555555556,0.33716069428251627,-0.48347327472348334,,,,,0.528149276971817,
HPQ,EXIT21,neg,16,-0.09802923,-0.019810319,5,0.3125,0.14164435051961052,-0.3804416472707043,,,,,0.9014572203159332,
HPQ,EXIT21,pos,14,0.8190314,0.12130308,9,0.6428571428571429,0.3876400468214041,-0.4749754688584593,,,,,0.528149276971817,
HPQ,PRINT,neg,24,2.20373,2.635685,22,0.9166666666666666,0.741507847985494,1.54034761846244,0.5,24.0,2.2037301063537598,0.9166666666666666,0.9014572203159332,
HPQ,PRINT,pos,21,2.8556387,2.0892494,20,0.9523809523809523,0.7733018341376451,1.2907354612235196,0.5,21.0,2.8556385040283203,0.9523809523809523,0.528149276971817,
HQ,EXIT04,neg,6,10.820157,9.493721,5,0.8333333333333334,0.4364905634363539,4.730620610036135,,,,,0.3834902048110962,
HQ,EXIT04,pos,3,15.613142,12.640444,3,1.0,0.4384939195509822,8.448952357540698,,,,,0.6586794257164001,
HQ,EXIT07,neg,10,11.234363,12.165557,9,0.9,0.5958436145024278,6.562470915461248,0.5,10.0,11.23436164855957,0.9,0.3834902048110962,
HQ,EXIT07,pos,6,12.779962,14.633503,6,1.0,0.6096569663469354,4.4301078012162165,,,,,0.6586794257164001,
HQ,EXIT18,neg,6,2.810791,-0.069165945,2,0.3333333333333333,0.09676933255921684,-1.275981946308895,,,,,0.3834902048110962,
HQ,EXIT18,pos,6,1.4010195,-0.26538348,3,0.5,0.1876128068994087,-4.0487611783639075,,,,,0.6586794257164001,
HQ,EXIT21,neg,4,0.9048246,1.0173068,2,0.5,0.15003570882017145,-0.707212894461184,,,,,0.3834902048110962,
HQ,EXIT21,pos,4,-2.136653,-3.1285102,1,0.25,0.045586062644636216,-4.163184325871059,,,,,0.6586794257164001,
HQ,PRINT,neg,27,5.8441887,6.0590534,21,0.7777777777777778,0.5924270453692919,3.756988091445231,0.5,27.0,5.844189643859863,0.7777777777777778,0.3834902048110962,
HQ,PRINT,pos,19,9.307574,8.05011,18,0.9473684210526315,0.7536078466345479,5.375241465771891,0.5,19.0,9.307574272155762,0.9473684210526315,0.6586794257164001,
HQH,EXIT07,neg,1,2.5490797,2.5490797,1,1.0,0.20654329147389294,,,,,,0.9939879179000854,
HQH,EXIT07,pos,3,1.753398,2.1811948,3,1.0,0.4384939195509822,0.869720749987931,,,,,1.5872550904750824,
HQH,EXIT18,pos,1,-0.34146214,-0.34146214,0,0.0,0.0,,,,,,1.5872550904750824,
HQH,PRINT,neg,15,1.7408785,1.4630094,14,0.9333333333333333,0.70182922447576,1.0512590562549096,0.5,15.0,1.7408785820007324,0.9333333333333333,0.9939879179000854,
HQH,PRINT,pos,26,0.8496236,0.69232976,22,0.8461538461538461,0.6646841558168644,0.43402118093443326,0.5,26.0,0.8496236205101013,0.8461538461538461,1.5872550904750824,
HQI,EXIT04,pos,1,17.845541,17.845541,1,1.0,0.20654329147389294,,,,,,0.299401193857193,
HQI,EXIT07,neg,1,6.0662704,6.0662704,1,1.0,0.20654329147389294,,,,,,2.3138468265533447,
HQI,PRINT,neg,3,4.8999653,5.54769,3,1.0,0.4384939195509822,3.0981649403875573,,,,,2.3138468265533447,
HQI,PRINT,pos,2,11.1112585,11.1112585,2,1.0,0.3423719528896193,-10.043234314918514,,,,,0.299401193857193,
HQL,EXIT07,pos,1,1.1311293,1.1311293,1,1.0,0.20654329147389294,,,,,,1.2060990810394288,
HQL,EXIT18,neg,1,-0.8414986,-0.8414986,0,0.0,0.0,,,,,,0.18869965374469758,
HQL,PRINT,neg,13,1.8465725,1.8686459,13,1.0,0.7718981569447084,1.2396244687225546,0.5,13.0,1.8465726375579834,1.0,0.18869965374469758,
HQL,PRINT,pos,26,1.3416381,1.0799972,25,0.9615384615384616,0.8110682300804161,0.9350870441334107,0.5,26.0,1.3416380882263184,0.9615384615384616,1.2060990810394288,
HQY,EXIT04,neg,2,1.524092,1.524092,2,1.0,0.3423719528896193,0.6394949603080751,,,,,0.7084106604258219,
HQY,EXIT04,pos,3,2.1159375,1.1468183,3,1.0,0.4384939195509822,-0.3140294329190332,,,,,0.5190325578053793,
HQY,EXIT07,neg,6,2.4259703,1.3682756,4,0.6666666666666666,0.2999883213415286,-0.9048008483677163,,,,,0.7084106604258219,
HQY,EXIT07,pos,3,1.7724416,1.6690626,3,1.0,0.4384939195509822,-0.20107055683058217,,,,,0.5190325578053793,
HQY,EXIT18,neg,2,-0.1745165,-0.1745165,0,0.0,0.0,-0.42269379138946533,,,,,0.7084106604258219,
HQY,EXIT18,pos,1,-0.6750212,-0.6750212,0,0.0,0.0,,,,,,0.5190325578053793,
HQY,PRINT,neg,20,1.5941377,1.6085498,16,0.8,0.5839782779742402,0.21034733661477967,0.5,20.0,1.5941375494003296,0.8,0.7084106604258219,
HQY,PRINT,pos,22,1.6932995,1.56898,17,0.7727272727272727,0.5655964393704065,0.888085113718904,0.5,22.0,1.6932995319366455,0.7727272727272727,0.5190325578053793,
HR,EXIT04,pos,1,0.44139367,0.44139367,1,1.0,0.20654329147389294,,,,,,0.5824592709541321,
HR,EXIT07,pos,2,0.17392421,0.17392421,2,1.0,0.3423719528896193,-0.06933393001556395,,,,,0.5824592709541321,
HR,EXIT21,neg,1,0.0,0.0,0,0.0,0.0,,,,,,0.10458214829365413,
